波长nm	计数count
316.59	1815
316.65	2716
316.71	2923
316.77	2213
316.84	1842
316.9	2081
316.96	2946
317.02	2191
317.09	2182
317.15	2195
317.21	1918
317.27	2659
317.34	2617
317.4	2675
317.46	2915
317.52	1779
317.59	2241
317.65	1940
317.71	2249
317.77	2319
317.84	2187
317.9	2506
317.96	2170
318.02	3284
318.09	2321
318.15	2233
318.21	2269
318.27	2833
318.34	2248
318.4	2606
318.46	2792
318.52	2654
318.59	2570
318.65	2126
318.71	2201
318.77	2722
318.83	2347
318.9	2785
318.96	2029
319.02	2656
319.08	2457
319.15	2497
319.21	2164
319.27	2096
319.33	1858
319.4	1972
319.46	2428
319.52	2376
319.58	2606
319.64	2947
319.71	2046
319.77	2012
319.83	3110
319.89	2157
319.96	2295
320.02	2377
320.08	2148
320.14	2575
320.2	2586
320.27	2147
320.33	3460
320.39	2420
320.45	2243
320.51	2139
320.58	3619
320.64	2418
320.7	3544
320.76	2435
320.83	2379
320.89	1957
320.95	2385
321.01	2196
321.07	3529
321.14	2501
321.2	1762
321.26	2444
321.32	3020
321.38	2404
321.45	2274
321.51	1935
321.57	1992
321.63	2644
321.69	1784
321.76	3057
321.82	3491
321.88	2696
321.94	2092
322	2298
322.06	2708
322.13	3191
322.19	1934
322.25	1878
322.31	2757
322.37	2496
322.44	2283
322.5	1763
322.56	2069
322.62	2710
322.68	2358
322.75	2249
322.81	1705
322.87	2072
322.93	4411
322.99	3273
323.05	2540
323.12	2382
323.18	3020
323.24	3167
323.3	3034
323.36	2242
323.42	1995
323.49	3220
323.55	2647
323.61	2521
323.67	2137
323.73	2677
323.8	2330
323.86	2833
323.92	2702
323.98	2050
324.04	2882
324.1	2023
324.17	1884
324.23	2253
324.29	2429
324.35	2487
324.41	2891
324.47	2062
324.53	2214
324.6	2352
324.66	1987
324.72	1897
324.78	3315
324.84	1849
324.9	2262
324.97	2625
325.03	1966
325.09	1981
325.15	2332
325.21	2963
325.27	2724
325.33	1683
325.4	2564
325.46	2262
325.52	2181
325.58	1988
325.64	3145
325.7	2164
325.76	2813
325.83	2096
325.89	2874
325.95	4032
326.01	2114
326.07	2344
326.13	2172
326.19	2525
326.26	2072
326.32	3089
326.38	2968
326.44	2732
326.5	2662
326.56	2238
326.62	2546
326.69	2784
326.75	3524
326.81	1981
326.87	2669
326.93	2671
326.99	3180
327.05	2214
327.11	2138
327.18	3790
327.24	2413
327.3	2846
327.36	2321
327.42	2029
327.48	2807
327.54	2344
327.6	2951
327.66	1914
327.73	2710
327.79	2479
327.85	3140
327.91	2817
327.97	2541
328.03	2753
328.09	2541
328.15	2888
328.22	1986
328.28	2880
328.34	2330
328.4	2436
328.46	2506
328.52	3241
328.58	4060
328.64	2419
328.7	1960
328.76	2439
328.83	2006
328.89	2306
328.95	2733
329.01	2950
329.07	1985
329.13	2431
329.19	2705
329.25	2564
329.31	3257
329.37	2422
329.44	2635
329.5	2582
329.56	1968
329.62	2346
329.68	2025
329.74	2745
329.8	2309
329.86	2236
329.92	2607
329.98	2034
330.04	1498
330.1	2400
330.17	2294
330.23	1917
330.29	1857
330.35	2975
330.41	3072
330.47	2421
330.53	2204
330.59	3362
330.65	3129
330.71	2640
330.77	2176
330.83	3044
330.89	1817
330.96	2722
331.02	3116
331.08	3138
331.14	2548
331.2	1718
331.26	1925
331.32	2948
331.38	3557
331.44	2528
331.5	2807
331.56	2248
331.62	2694
331.68	2602
331.74	2070
331.8	2331
331.87	2672
331.93	2637
331.99	3163
332.05	2387
332.11	2165
332.17	2034
332.23	2198
332.29	2401
332.35	2195
332.41	2460
332.47	2969
332.53	2173
332.59	2764
332.65	2011
332.71	1892
332.77	2058
332.83	2204
332.89	3874
332.95	2945
333.01	4046
333.08	3073
333.14	2646
333.2	2513
333.26	3916
333.32	3631
333.38	2492
333.44	2499
333.5	2490
333.56	2642
333.62	2263
333.68	2378
333.74	2217
333.8	2543
333.86	2969
333.92	2279
333.98	1961
334.04	2082
334.1	2773
334.16	2716
334.22	2725
334.28	1920
334.34	2821
334.4	2812
334.46	3200
334.52	2648
334.58	2874
334.64	2238
334.7	3030
334.76	2504
334.82	2542
334.88	1745
334.94	2603
335	3111
335.06	1928
335.12	2203
335.18	2344
335.24	2301
335.3	2233
335.37	2760
335.43	2593
335.49	3042
335.55	2904
335.61	2838
335.67	2410
335.73	2386
335.79	2555
335.85	2154
335.91	2021
335.97	2653
336.03	2141
336.09	2773
336.15	2023
336.21	2196
336.27	2220
336.33	1966
336.39	2098
336.45	3131
336.51	2436
336.57	3926
336.63	2237
336.68	2307
336.74	2663
336.8	2784
336.86	2035
336.92	2032
336.98	2407
337.04	3897
337.1	2382
337.16	2463
337.22	2084
337.28	2293
337.34	3052
337.4	2143
337.46	2301
337.52	2706
337.58	1818
337.64	2270
337.7	2693
337.76	2440
337.82	1813
337.88	2211
337.94	1805
338	2444
338.06	2734
338.12	2090
338.18	2735
338.24	2600
338.3	2732
338.36	2217
338.42	1725
338.48	3003
338.54	2382
338.6	2748
338.66	2660
338.72	2624
338.78	2843
338.84	1973
338.9	2702
338.96	2016
339.01	1928
339.07	2525
339.13	2132
339.19	2425
339.25	2674
339.31	2522
339.37	2390
339.43	2096
339.49	2212
339.55	1741
339.61	1969
339.67	2305
339.73	1982
339.79	3036
339.85	1772
339.91	2438
339.97	2368
340.03	1957
340.09	1820
340.14	2358
340.2	2161
340.26	2188
340.32	2482
340.38	2244
340.44	3279
340.5	2658
340.56	2724
340.62	3013
340.68	2364
340.74	2197
340.8	1797
340.86	2272
340.92	1806
340.98	2498
341.03	1928
341.09	2066
341.15	1998
341.21	3279
341.27	1659
341.33	3086
341.39	1945
341.45	1985
341.51	2939
341.57	2351
341.63	2599
341.69	2290
341.75	3580
341.8	2659
341.86	2847
341.92	2117
341.98	2221
342.04	2514
342.1	1663
342.16	2867
342.22	1936
342.28	2156
342.34	2287
342.4	2251
342.45	1767
342.51	2488
342.57	2246
342.63	2231
342.69	2337
342.75	2593
342.81	2254
342.87	2089
342.93	2353
342.99	2834
343.04	2548
343.1	3263
343.16	2666
343.22	2202
343.28	2413
343.34	2382
343.4	2429
343.46	3489
343.52	3209
343.58	2644
343.63	2539
343.69	2644
343.75	2748
343.81	3112
343.87	3234
343.93	2603
343.99	2490
344.05	2368
344.1	2494
344.16	2771
344.22	3179
344.28	2739
344.34	2822
344.4	1909
344.46	2439
344.52	3277
344.58	2337
344.63	2387
344.69	2768
344.75	3575
344.81	2560
344.87	2526
344.93	2037
344.99	2398
345.04	1859
345.1	2476
345.16	2741
345.22	2204
345.28	2389
345.34	2009
345.4	2658
345.46	2642
345.51	2184
345.57	2678
345.63	3082
345.69	3045
345.75	2499
345.81	2740
345.87	2067
345.92	3363
345.98	3710
346.04	2545
346.1	2344
346.16	2417
346.22	2033
346.27	2537
346.33	2302
346.39	2350
346.45	2080
346.51	1968
346.57	2718
346.63	1987
346.68	2749
346.74	2164
346.8	2570
346.86	3947
346.92	2207
346.98	2714
347.03	2486
347.09	1977
347.15	1773
347.21	2151
347.27	2545
347.33	2117
347.38	2220
347.44	3336
347.5	2311
347.56	2150
347.62	2472
347.68	2208
347.73	2398
347.79	1905
